objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7910411",5G NR,AMSTERDAM,2011/03/09,2020/07/21,5G NR,Amsterdam,119305,484904,1075PL,5779074681
"7910412",5G NR,AMSTERDAM,1996/02/22,2020/07/21,5G NR,Amsterdam,117228,484941,1066AZ,4546796086
"7910413",5G NR,HAARLEM,1996/01/12,2020/07/21,5G NR,Haarlem,105050,485180,2036RS,2978314366
"7910414",5G NR,ROSSUM OV,2002/01/28,2021/10/14,5G NR,Dinkelland,259570,486038,7596KM,4117466554
"7910855",5G NR,NIEUWEGEIN,2021/05/03,2021/06/03,5G NR,Nieuwegein,134066,449057,3431HJ,8931796509
"7910856",5G NR,VEENENDAAL,2009/06/25,2020/10/14,5G NR,Veenendaal,167931,449034,3902DE,6247910751
"7910857",5G NR,RIJSWIJK ZH,1996/05/21,2020/04/15,5G NR,Rijswijk,82925,449544,2288GN,7519254698
"7910858",5G NR,OVERBERG,2020/09/14,2020/10/14,5G NR,Utrechtse Heuvelrug,162432,449053,3959AE,8362204389
"7910859",5G NR,DOORN,2004/10/05,2020/08/05,5G NR,Utrechtse Heuvelrug,153160,449090,3941MC,1786658527
"7910860",5G NR,OUDEWATER,1995/05/26,2020/12/03,5G NR,Oudewater,119140,449242,3421TL,2811942383
"7910861",5G NR,EDE,1999/02/02,2020/11/19,5G NR,Ede,182437,449212,6718SP,8150427628
"7910862",5G NR,NIEUWEGEIN,2000/12/11,2020/12/10,5G NR,Nieuwegein,134675,449250,3432NZ,9883004361
"7910863",5G NR,GOUDA,2004/07/22,2020/07/21,5G NR,Gouda,108179,449473,2804XA,6102195560
"7910864",5G NR,MONSTER,1997/03/25,2020/07/21,5G NR,Westland,72616,449951,2681PJ,5175614628
"7910865",5G NR,RIJSWIJK ZH,2007/04/13,2020/04/15,5G NR,Rijswijk,81630,449966,2287RC,3164345902
"7910866",5G NR,MONSTER,2020/06/21,2020/07/21,5G NR,Westland,73381,450124,2681JG,5172304761
"7910867",5G NR,EDE,1998/12/14,2020/09/23,5G NR,Ede,170780,449489,6716BJ,4797212165
"7910868",5G NR,'S-GRAVENHAGE,1997/03/25,2020/09/16,5G NR,'s-Gravenhage,78059,450065,2542JW,2581613373
"7910869",5G NR,POELDIJK,1995/06/28,2020/07/21,5G NR,Westland,76216,450143,2685SJ,4766540645
"7910870",5G NR,WADDINXVEEN,2000/12/22,2020/08/26,5G NR,Waddinxveen,107363,449765,2741LE,4929584999
"7910871",5G NR,HOUTEN,1996/12/19,2020/08/19,5G NR,Houten,139875,449575,3995DZ,3282258663
"7910872",5G NR,EDE,2020/09/14,2020/10/14,5G NR,Ede,171983,449583,6716AA,5803641715
"7910873",5G NR,DOORN,2000/11/13,2020/09/02,5G NR,Utrechtse Heuvelrug,152023,449564,3941JK,4723881143
