objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7908978",LTE,Maastricht,2007/12/10,2017/06/12,LTE,Maastricht,179090,317016,6227CB,8876694011
"7908979",LTE,Maastricht,2017/02/22,2017/02/22,LTE,Maastricht,174997,317168,6214TS,929519773
"7908980",LTE,Valkenburg (LB),2020/09/11,2020/09/11,LTE,Valkenburg aan de Geul,186343,317252,6301AN,5174469301
"7908981",LTE,Maastricht,2020/09/11,2020/09/11,LTE,Maastricht,173233,317358,6215JB,3901362055
"7908982",LTE,Maastricht,2020/08/06,2020/08/06,LTE,Maastricht,178398,317381,6224JX,7046517120
"7908983",LTE,Maastricht,2020/08/28,2020/08/28,LTE,Maastricht,175113,317643,6214PB,3756967566
"7908984",LTE,Heerlen,2020/09/04,2020/09/04,LTE,Heerlen,197657,317810,6422PC,2636339704
"7908985",LTE,Maastricht,2003/03/10,2015/06/09,LTE,Maastricht,175817,317748,6211NW,6150426731
"7908986",LTE,Maastricht,2015/03/17,2019/12/11,LTE,Maastricht,176482,317779,6211EE,6329424005
"7908987",LTE,Maastricht,2007/01/12,2019/12/11,LTE,Maastricht,179212,317807,6226NK,142575615
"7908988",LTE,Maastricht,2007/11/29,2016/12/08,LTE,Maastricht,177670,317817,6224CC,4079401745
"7908989",LTE,Maastricht,2017/09/15,2017/09/15,LTE,Maastricht,177320,317861,6221BD,6932091543
"7908990",LTE,Maastricht,2015/04/17,2015/10/08,LTE,Maastricht,176186,317893,6211ST,6645744345
"7908991",LTE,Heerlen,2020/09/04,2020/09/04,LTE,Heerlen,197494,323277,6415HT,3919066459
"7908992",LTE,Eygelshoven,2020/08/06,2020/08/06,LTE,Kerkrade,202611,323333,6471XW,900222901
"7908993",LTE,Heerlen,2015/04/21,2015/10/28,LTE,Heerlen,194097,323404,6412PM,4612760876
"7908994",LTE,Ulestraten,2015/07/30,2019/12/11,LTE,Meerssen,180840,323422,6235NW,7352915493
"7908995",LTE,Schimmert,2020/08/06,2020/08/06,LTE,Nuth,185123,323493,6333EJ,3085187645
"7908996",LTE,Bunde,2012/09/12,2017/06/26,LTE,Meerssen,179535,323480,6241CX,3327788342
"7908997",LTE,Landgraaf,2020/08/06,2020/08/06,LTE,Landgraaf,200148,323763,6373VH,5815106488
"7908998",LTE,Heerlen,2018/07/16,2018/07/16,LTE,Heerlen,195983,323835,6413AA,6442976567
