FID;Municipality;Application;Antenna height;Coordinates;
antenneregister.fid-5a1e297e_17d0a604c22_-2593;Aalten;UMTS;31.1;236450;436775
antenneregister.fid-5a1e297e_17d0a604c22_-2592;Aalten;UMTS;24.1;236442;436813
antenneregister.fid-5a1e297e_17d0a604c22_-2591;Aalten;UMTS;37;238374;438143
antenneregister.fid-5a1e297e_17d0a604c22_-2590;Aalten;UMTS;23.7;239584;439971
antenneregister.fid-5a1e297e_17d0a604c22_-258f;Aalten;UMTS;22.4;239591;439992
antenneregister.fid-5a1e297e_17d0a604c22_-258e;Aalten;UMTS;33;230521;431410
antenneregister.fid-5a1e297e_17d0a604c22_-258d;Aalten;UMTS;32.8;230284;431797
antenneregister.fid-5a1e297e_17d0a604c22_-258c;Aalten;UMTS;25.8;231120;431222
antenneregister.fid-5a1e297e_17d0a604c22_-258b;Aalten;UMTS;40.5;230293;431788
antenneregister.fid-5a1e297e_17d0a604c22_-258a;Aalten;UMTS;17;234612;434006
antenneregister.fid-5a1e297e_17d0a604c22_-2589;Achtkarspelen;GSM 1800;30.8;205597.3301;586212.5
antenneregister.fid-5a1e297e_17d0a604c22_-2588;Achtkarspelen;GSM 1800;33.9;204309.3301;577830.5
antenneregister.fid-5a1e297e_17d0a604c22_-2587;Achtkarspelen;GSM 1800;22.4;207673.7321;576809
antenneregister.fid-5a1e297e_17d0a604c22_-2586;Achtkarspelen;GSM 900;31.1;207839;581377
antenneregister.fid-5a1e297e_17d0a604c22_-2585;Achtkarspelen;GSM 900;38;205664.3301;586257.5
antenneregister.fid-5a1e297e_17d0a604c22_-2584;Achtkarspelen;GSM 900;30.8;205591.2679;586214
antenneregister.fid-5a1e297e_17d0a604c22_-2583;Achtkarspelen;GSM 900;37.3;205767.7321;584989
antenneregister.fid-5a1e297e_17d0a604c22_-2582;Achtkarspelen;GSM 900;24;210153;586852
antenneregister.fid-5a1e297e_17d0a604c22_-2581;Achtkarspelen;GSM 900;25;204524.3301;577752.5
antenneregister.fid-5a1e297e_17d0a604c22_-2580;Achtkarspelen;GSM 900;33.3;204300.6699;577830.5
antenneregister.fid-5a1e297e_17d0a604c22_-257f;Achtkarspelen;GSM 900;23.6;204321.3301;577841.5
antenneregister.fid-5a1e297e_17d0a604c22_-257e;Achtkarspelen;GSM 900;24.1;202934.3301;581177.5
antenneregister.fid-5a1e297e_17d0a604c22_-257d;Achtkarspelen;GSM 900;27.2;202293.3301;581227.5
antenneregister.fid-5a1e297e_17d0a604c22_-257c;Achtkarspelen;GSM 900;49.4;207704.3301;576797.5
antenneregister.fid-5a1e297e_17d0a604c22_-257b;Achtkarspelen;GSM 900;42;207685.7321;576820
antenneregister.fid-5a1e297e_17d0a604c22_-257a;Achtkarspelen;GSM 900;22.4;207670.2679;576809
antenneregister.fid-5a1e297e_17d0a604c22_-2579;Achtkarspelen;GSM 900;28.4;202571;583580
antenneregister.fid-5a1e297e_17d0a604c22_-2578;Achtkarspelen;GSM 900;27.1;202580;583575
antenneregister.fid-5a1e297e_17d0a604c22_-2577;Achtkarspelen;LTE;37.3;205761.6699;584987.5
antenneregister.fid-5a1e297e_17d0a604c22_-2576;Achtkarspelen;LTE;37.9;205658.2679;586259
antenneregister.fid-5a1e297e_17d0a604c22_-2575;Achtkarspelen;LTE;35.5;210389;584048
antenneregister.fid-5a1e297e_17d0a604c22_-2574;Achtkarspelen;LTE;23.6;204312.6699;577841.5
antenneregister.fid-5a1e297e_17d0a604c22_-2573;Achtkarspelen;LTE;25;204515.6699;577752.5
antenneregister.fid-5a1e297e_17d0a604c22_-2572;Achtkarspelen;LTE;24.8;202928.2679;581179
antenneregister.fid-5a1e297e_17d0a604c22_-2571;Achtkarspelen;LTE;27.2;202287.2679;581229
antenneregister.fid-5a1e297e_17d0a604c22_-2570;Achtkarspelen;LTE;49.4;207698.2679;576799
antenneregister.fid-5a1e297e_17d0a604c22_-256f;Achtkarspelen;LTE;42;207679.6699;576818.5
antenneregister.fid-5a1e297e_17d0a604c22_-256e;Achtkarspelen;UMTS;31.1;207839;581387
antenneregister.fid-5a1e297e_17d0a604c22_-256d;Achtkarspelen;UMTS;34.7;207820;581376
antenneregister.fid-5a1e297e_17d0a604c22_-256c;Achtkarspelen;UMTS;32.5;205660;586262
antenneregister.fid-5a1e297e_17d0a604c22_-256b;Achtkarspelen;UMTS;36.2;207450;586226
antenneregister.fid-5a1e297e_17d0a604c22_-256a;Achtkarspelen;UMTS;37.3;205766;584995
antenneregister.fid-5a1e297e_17d0a604c22_-2569;Achtkarspelen;UMTS;30.8;205593;586217
antenneregister.fid-5a1e297e_17d0a604c22_-2568;Achtkarspelen;UMTS;24;210153;586862
antenneregister.fid-5a1e297e_17d0a604c22_-2567;Achtkarspelen;UMTS;36.1;210389;584058
antenneregister.fid-5a1e297e_17d0a604c22_-2566;Achtkarspelen;UMTS;23.6;204317;577846
antenneregister.fid-5a1e297e_17d0a604c22_-2565;Achtkarspelen;UMTS;33.9;204305;577838
antenneregister.fid-5a1e297e_17d0a604c22_-2564;Achtkarspelen;UMTS;25;204520;577760
antenneregister.fid-5a1e297e_17d0a604c22_-2563;Achtkarspelen;UMTS;27.2;202289;581235
antenneregister.fid-5a1e297e_17d0a604c22_-2562;Achtkarspelen;UMTS;24.9;202930;581185
antenneregister.fid-5a1e297e_17d0a604c22_-2561;Achtkarspelen;UMTS;49.4;207700;576805
antenneregister.fid-5a1e297e_17d0a604c22_-2560;Achtkarspelen;UMTS;45;207684;576823
antenneregister.fid-5a1e297e_17d0a604c22_-255f;Achtkarspelen;UMTS;22.4;207672;576812
antenneregister.fid-5a1e297e_17d0a604c22_-255e;Achtkarspelen;UMTS;28.4;202574;583593
antenneregister.fid-5a1e297e_17d0a604c22_-255d;Achtkarspelen;UMTS;27.1;202580;583582
antenneregister.fid-5a1e297e_17d0a604c22_-255c;Achtkarspelen;UMTS;28.4;202571;583587
antenneregister.fid-5a1e297e_17d0a604c22_-255b;Achtkarspelen;UMTS;23.6;199321;584147
antenneregister.fid-5a1e297e_17d0a604c22_-255a;Alblasserdam;GSM 1800;17.2;105289.3301;430265.5
antenneregister.fid-5a1e297e_17d0a604c22_-2559;Alblasserdam;GSM 1800;17.5;103612.7321;431866
antenneregister.fid-5a1e297e_17d0a604c22_-2558;Alblasserdam;GSM 1800;35.2;105195;431440
antenneregister.fid-5a1e297e_17d0a604c22_-2557;Alblasserdam;GSM 900;15.6;103607.3301;431863.5
antenneregister.fid-5a1e297e_17d0a604c22_-2556;Alblasserdam;GSM 900;35.2;105190;431435
antenneregister.fid-5a1e297e_17d0a604c22_-2555;Alblasserdam;GSM 900;26.2;104865.3301;430943.5
antenneregister.fid-5a1e297e_17d0a604c22_-2554;Alblasserdam;GSM 900;21;105982;429562
antenneregister.fid-5a1e297e_17d0a604c22_-2553;Alblasserdam;GSM 900;23;105190;429780
antenneregister.fid-5a1e297e_17d0a604c22_-2552;Alblasserdam;GSM 900;21.2;104810;430918
antenneregister.fid-5a1e297e_17d0a604c22_-2551;Alblasserdam;LTE;17.2;105280.6699;430265.5
antenneregister.fid-5a1e297e_17d0a604c22_-2550;Alblasserdam;LTE;17.5;103609.2679;431866
antenneregister.fid-5a1e297e_17d0a604c22_-254f;Alblasserdam;LTE;31.2;105198;431436
antenneregister.fid-5a1e297e_17d0a604c22_-254e;Alblasserdam;LTE;16.8;103601.2679;431865
antenneregister.fid-5a1e297e_17d0a604c22_-254d;Alblasserdam;LTE;35.2;105185;431440
antenneregister.fid-5a1e297e_17d0a604c22_-254c;Alblasserdam;LTE;26.8;104859.2679;430945
antenneregister.fid-5a1e297e_17d0a604c22_-254b;Alblasserdam;UMTS;17.2;105285;430273
antenneregister.fid-5a1e297e_17d0a604c22_-254a;Alblasserdam;UMTS;37.8;105196;429905
antenneregister.fid-5a1e297e_17d0a604c22_-2549;Alblasserdam;UMTS;40;105190;431442
antenneregister.fid-5a1e297e_17d0a604c22_-2548;Alblasserdam;UMTS;17.5;103611;431872
antenneregister.fid-5a1e297e_17d0a604c22_-2547;Alblasserdam;UMTS;28;105195;431441
antenneregister.fid-5a1e297e_17d0a604c22_-2546;Alblasserdam;UMTS;24.4;105982;429569
antenneregister.fid-5a1e297e_17d0a604c22_-2545;Alblasserdam;UMTS;26.8;104861;430951
antenneregister.fid-5a1e297e_17d0a604c22_-2544;Alblasserdam;UMTS;31.2;105198;431446
antenneregister.fid-5a1e297e_17d0a604c22_-2543;Alblasserdam;UMTS;29.7;105185;429775
antenneregister.fid-5a1e297e_17d0a604c22_-2542;Alblasserdam;UMTS;16.8;103603;431868
antenneregister.fid-5a1e297e_17d0a604c22_-2541;Alblasserdam;UMTS;25.4;104810;430925
antenneregister.fid-5a1e297e_17d0a604c22_-2540;Albrandswaard;GSM 1800;17;86469;429973
antenneregister.fid-5a1e297e_17d0a604c22_-253f;Albrandswaard;GSM 1800;18.6;88751;430268
antenneregister.fid-5a1e297e_17d0a604c22_-253e;Albrandswaard;GSM 900;13.5;88261.73205;431754
antenneregister.fid-5a1e297e_17d0a604c22_-253d;Albrandswaard;GSM 900;16.3;86646.33013;429278.5
antenneregister.fid-5a1e297e_17d0a604c22_-253c;Albrandswaard;GSM 900;24;87001.73205;431099
antenneregister.fid-5a1e297e_17d0a604c22_-253b;Albrandswaard;GSM 900;16.3;86604.33013;430122.5
antenneregister.fid-5a1e297e_17d0a604c22_-253a;Albrandswaard;GSM 900;18.8;86472.73205;430105
antenneregister.fid-5a1e297e_17d0a604c22_-2539;Albrandswaard;GSM 900;19.2;88331.73205;430419
antenneregister.fid-5a1e297e_17d0a604c22_-2538;Albrandswaard;GSM 900;19.6;89650;431345
antenneregister.fid-5a1e297e_17d0a604c22_-2537;Albrandswaard;GSM 900;27.6;92569.73205;429612
antenneregister.fid-5a1e297e_17d0a604c22_-2536;Albrandswaard;GSM 900;19.9;88347.33013;430404.5
antenneregister.fid-5a1e297e_17d0a604c22_-2535;Albrandswaard;GSM 900;18.6;88746;430263
antenneregister.fid-5a1e297e_17d0a604c22_-2534;Albrandswaard;GSM 900;28.9;92575.73205;429617
