FID;Municipality;Application;Antenna height;Coordinates;
antenneregister.fid-5a1e297e_17d0a604c22_-1c7f;Amsterdam;LTE;29.4;122115;485400
antenneregister.fid-5a1e297e_17d0a604c22_-1c7e;Amsterdam;LTE;31.7;117612;488600
antenneregister.fid-5a1e297e_17d0a604c22_-1c7d;Amsterdam;LTE;20.4;123122;487304
antenneregister.fid-5a1e297e_17d0a604c22_-1c7c;Amsterdam;LTE;35.1;117610;488600
antenneregister.fid-5a1e297e_17d0a604c22_-1c7b;Amsterdam;LTE;22.5;118287;485066
antenneregister.fid-5a1e297e_17d0a604c22_-1c7a;Amsterdam;LTE;23.2;118738;487965
antenneregister.fid-5a1e297e_17d0a604c22_-1c79;Amsterdam;LTE;22;112319.2679;491191
antenneregister.fid-5a1e297e_17d0a604c22_-1c78;Amsterdam;LTE;21.4;121803.6699;486032.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c77;Amsterdam;LTE;26.9;118948.2679;486299
antenneregister.fid-5a1e297e_17d0a604c22_-1c76;Amsterdam;LTE;14.4;119200.6699;488312.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c75;Amsterdam;LTE;14.8;120312;491765
antenneregister.fid-5a1e297e_17d0a604c22_-1c74;Amsterdam;LTE;20;117858;484300
antenneregister.fid-5a1e297e_17d0a604c22_-1c73;Amsterdam;LTE;21.1;124081;485919
antenneregister.fid-5a1e297e_17d0a604c22_-1c72;Amsterdam;LTE;29.3;122187.2679;487861
antenneregister.fid-5a1e297e_17d0a604c22_-1c71;Amsterdam;LTE;30.7;123220.2679;486713
antenneregister.fid-5a1e297e_17d0a604c22_-1c70;Amsterdam;LTE;16.1;120073.6699;483826.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c6f;Amsterdam;LTE;31.5;120436.6699;482188.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c6e;Amsterdam;LTE;36.1;117214;483655
antenneregister.fid-5a1e297e_17d0a604c22_-1c6d;Amsterdam;LTE;29.7;119466.6699;485920.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c6c;Amsterdam;LTE;21.2;118185;487710
antenneregister.fid-5a1e297e_17d0a604c22_-1c6b;Amsterdam;LTE;25.8;117368;489594
antenneregister.fid-5a1e297e_17d0a604c22_-1c6a;Amsterdam;LTE;21.8;120926.6699;486044.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c69;Amsterdam;LTE;27.8;126185.2679;485352
antenneregister.fid-5a1e297e_17d0a604c22_-1c68;Amsterdam;LTE;22.3;118398.2679;487049
antenneregister.fid-5a1e297e_17d0a604c22_-1c67;Amsterdam;LTE;29.3;123261;486657
antenneregister.fid-5a1e297e_17d0a604c22_-1c66;Amsterdam;LTE;22.8;124595.6699;485807.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c65;Amsterdam;LTE;22.5;121588.6699;486609.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c64;Amsterdam;LTE;20;125880;486245
antenneregister.fid-5a1e297e_17d0a604c22_-1c63;Amsterdam;LTE;36.8;122048.6699;489219.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c62;Amsterdam;LTE;18.9;120304.2679;485310
antenneregister.fid-5a1e297e_17d0a604c22_-1c61;Amsterdam;LTE;42;120484;486149
antenneregister.fid-5a1e297e_17d0a604c22_-1c60;Amsterdam;LTE;27.4;116745;483900
antenneregister.fid-5a1e297e_17d0a604c22_-1c5f;Amsterdam;LTE;48.5;119603;483655
antenneregister.fid-5a1e297e_17d0a604c22_-1c5e;Amsterdam;LTE;29.8;115818;484041
antenneregister.fid-5a1e297e_17d0a604c22_-1c5d;Amsterdam;LTE;22.6;125515.6699;485530.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c5c;Amsterdam;LTE;27.8;121469.6699;487297.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c5b;Amsterdam;LTE;21.6;122573.2679;486659
antenneregister.fid-5a1e297e_17d0a604c22_-1c5a;Amsterdam;LTE;21.5;121430.2679;488063
antenneregister.fid-5a1e297e_17d0a604c22_-1c59;Amsterdam;LTE;14.9;120892;491242
antenneregister.fid-5a1e297e_17d0a604c22_-1c58;Amsterdam;LTE;23.7;118119;488379
antenneregister.fid-5a1e297e_17d0a604c22_-1c57;Amsterdam;LTE;23.2;119969;487696
antenneregister.fid-5a1e297e_17d0a604c22_-1c56;Amsterdam;LTE;23.6;119004.6699;484849.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c55;Amsterdam;LTE;32.4;122609;489478
antenneregister.fid-5a1e297e_17d0a604c22_-1c54;Amsterdam;LTE;19.3;121302.2679;486301
antenneregister.fid-5a1e297e_17d0a604c22_-1c53;Amsterdam;LTE;21.9;123512;486968
antenneregister.fid-5a1e297e_17d0a604c22_-1c52;Amsterdam;LTE;19.1;123303.6699;487432.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c51;Amsterdam;LTE;31.3;119673;486362
antenneregister.fid-5a1e297e_17d0a604c22_-1c50;Amsterdam;LTE;41.2;126190.2679;485336
antenneregister.fid-5a1e297e_17d0a604c22_-1c4f;Amsterdam;LTE;18.1;117086.6699;487571.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c4e;Amsterdam;LTE;33;117605;488600
antenneregister.fid-5a1e297e_17d0a604c22_-1c4d;Amsterdam;LTE;17.2;120106;483841
antenneregister.fid-5a1e297e_17d0a604c22_-1c4c;Amsterdam;LTE;30.9;121473;487900
antenneregister.fid-5a1e297e_17d0a604c22_-1c4b;Amsterdam;LTE;20.6;121013.2679;489279
antenneregister.fid-5a1e297e_17d0a604c22_-1c4a;Amsterdam;LTE;20.1;120554.2679;485810
antenneregister.fid-5a1e297e_17d0a604c22_-1c49;Amsterdam;LTE;25.3;117234;484417
antenneregister.fid-5a1e297e_17d0a604c22_-1c48;Amsterdam;LTE;47;116435;488060
antenneregister.fid-5a1e297e_17d0a604c22_-1c47;Amsterdam;LTE;23;121995.6699;486698.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c46;Amsterdam;LTE;19;124328.2679;485529
antenneregister.fid-5a1e297e_17d0a604c22_-1c45;Amsterdam;LTE;27.9;123738.2679;483322
antenneregister.fid-5a1e297e_17d0a604c22_-1c44;Amsterdam;LTE;17.4;118585;484894
antenneregister.fid-5a1e297e_17d0a604c22_-1c43;Amsterdam;LTE;22.2;125472.6699;486975.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c42;Amsterdam;LTE;26.2;121717.2679;487411
antenneregister.fid-5a1e297e_17d0a604c22_-1c41;Amsterdam;LTE;20;123197;483147
antenneregister.fid-5a1e297e_17d0a604c22_-1c40;Amsterdam;LTE;19.9;120691;487106
antenneregister.fid-5a1e297e_17d0a604c22_-1c3f;Amsterdam;LTE;20.3;123623.2679;484289
antenneregister.fid-5a1e297e_17d0a604c22_-1c3e;Amsterdam;LTE;34.6;118935.6699;482287.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c3d;Amsterdam;LTE;28.3;124122.6699;487526.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c3c;Amsterdam;LTE;27.8;117798.2679;486349
antenneregister.fid-5a1e297e_17d0a604c22_-1c3b;Amsterdam;LTE;41.5;124006;490317
antenneregister.fid-5a1e297e_17d0a604c22_-1c3a;Amsterdam;LTE;18.8;124794.6699;485924.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c39;Amsterdam;LTE;23.2;121800;486036
antenneregister.fid-5a1e297e_17d0a604c22_-1c38;Amsterdam;LTE;29;115070;487879
antenneregister.fid-5a1e297e_17d0a604c22_-1c37;Amsterdam;LTE;23.7;122471;487022
antenneregister.fid-5a1e297e_17d0a604c22_-1c36;Amsterdam;LTE;25.6;120980;487058
antenneregister.fid-5a1e297e_17d0a604c22_-1c35;Amsterdam;LTE;17;117709;487789
antenneregister.fid-5a1e297e_17d0a604c22_-1c34;Amsterdam;LTE;27.5;113373.2679;487313
antenneregister.fid-5a1e297e_17d0a604c22_-1c33;Amsterdam;LTE;30.1;118563;488792
antenneregister.fid-5a1e297e_17d0a604c22_-1c32;Amsterdam;LTE;31.8;120210.2679;486998
antenneregister.fid-5a1e297e_17d0a604c22_-1c31;Amsterdam;LTE;25.5;122589;487089
antenneregister.fid-5a1e297e_17d0a604c22_-1c30;Amsterdam;LTE;30.9;120536;486339
antenneregister.fid-5a1e297e_17d0a604c22_-1c2f;Amsterdam;LTE;30;122118;486180
antenneregister.fid-5a1e297e_17d0a604c22_-1c2e;Amsterdam;LTE;27.5;115188;485846
antenneregister.fid-5a1e297e_17d0a604c22_-1c2d;Amsterdam;LTE;27;125045.6699;491597.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c2c;Amsterdam;LTE;43.4;123158.2679;484661
antenneregister.fid-5a1e297e_17d0a604c22_-1c2b;Amsterdam;LTE;25.6;121517;483718
antenneregister.fid-5a1e297e_17d0a604c22_-1c2a;Amsterdam;LTE;23.5;120607.2679;487381
antenneregister.fid-5a1e297e_17d0a604c22_-1c29;Amsterdam;LTE;26.3;121393.6699;486605.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c28;Amsterdam;LTE;19.5;117095;485460
antenneregister.fid-5a1e297e_17d0a604c22_-1c27;Amsterdam;LTE;20.2;128536.2679;485338
antenneregister.fid-5a1e297e_17d0a604c22_-1c26;Amsterdam;LTE;32.6;115838.2679;490259
antenneregister.fid-5a1e297e_17d0a604c22_-1c25;Amsterdam;LTE;22.9;120695;485625
antenneregister.fid-5a1e297e_17d0a604c22_-1c24;Amsterdam;LTE;33.8;120555;482200
antenneregister.fid-5a1e297e_17d0a604c22_-1c23;Amsterdam;LTE;39.3;125148.2679;489949
antenneregister.fid-5a1e297e_17d0a604c22_-1c22;Amsterdam;LTE;32.8;124498;486900
antenneregister.fid-5a1e297e_17d0a604c22_-1c21;Amsterdam;LTE;28.9;118978;486306
antenneregister.fid-5a1e297e_17d0a604c22_-1c20;Amsterdam;LTE;39.4;113698;485380
antenneregister.fid-5a1e297e_17d0a604c22_-1c1f;Amsterdam;LTE;24.4;119816.6699;484452.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c1e;Amsterdam;LTE;20.1;120414;484694
antenneregister.fid-5a1e297e_17d0a604c22_-1c1d;Amsterdam;LTE;32.6;125231;479729
antenneregister.fid-5a1e297e_17d0a604c22_-1c1c;Amsterdam;LTE;33.4;112440.6699;492449.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c1b;Amsterdam;LTE;27.6;120028;487407
antenneregister.fid-5a1e297e_17d0a604c22_-1c1a;Amsterdam;LTE;20;124845;484610
antenneregister.fid-5a1e297e_17d0a604c22_-1c19;Amsterdam;LTE;22.2;121084.2679;489028
antenneregister.fid-5a1e297e_17d0a604c22_-1c18;Amsterdam;LTE;21.1;119839;487160
antenneregister.fid-5a1e297e_17d0a604c22_-1c17;Amsterdam;LTE;33.3;121953.2679;486879
antenneregister.fid-5a1e297e_17d0a604c22_-1c16;Amsterdam;LTE;37.4;125172;489977
antenneregister.fid-5a1e297e_17d0a604c22_-1c15;Amsterdam;LTE;35.8;115208.2679;486109
antenneregister.fid-5a1e297e_17d0a604c22_-1c14;Amsterdam;LTE;23.3;118902;487187
antenneregister.fid-5a1e297e_17d0a604c22_-1c13;Amsterdam;LTE;25.4;119478.2679;485279
antenneregister.fid-5a1e297e_17d0a604c22_-1c12;Amsterdam;LTE;26;119446.6699;487110.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c11;Amsterdam;LTE;28.4;120325.6699;492867.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c10;Amsterdam;LTE;21.2;121033.6699;484181.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c0f;Amsterdam;LTE;38.3;121319;490994
antenneregister.fid-5a1e297e_17d0a604c22_-1c0e;Amsterdam;LTE;31.3;118787;483617
antenneregister.fid-5a1e297e_17d0a604c22_-1c0d;Amsterdam;LTE;35;121084;487206
antenneregister.fid-5a1e297e_17d0a604c22_-1c0c;Amsterdam;LTE;18.4;121950.6699;484924.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c0b;Amsterdam;LTE;29.6;124511;486883
antenneregister.fid-5a1e297e_17d0a604c22_-1c0a;Amsterdam;LTE;23.7;120730.2679;491381
antenneregister.fid-5a1e297e_17d0a604c22_-1c09;Amsterdam;LTE;25.2;124277;484575
antenneregister.fid-5a1e297e_17d0a604c22_-1c08;Amsterdam;LTE;21.8;112263.6699;491342.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c07;Amsterdam;LTE;22.1;116340.2679;487403
antenneregister.fid-5a1e297e_17d0a604c22_-1c06;Amsterdam;LTE;30.1;115634.6699;485393.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c05;Amsterdam;LTE;19.4;121590.6699;485526.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c04;Amsterdam;LTE;23.5;114275.6699;485197.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c03;Amsterdam;LTE;20.5;123695.6699;487147.5
antenneregister.fid-5a1e297e_17d0a604c22_-1c02;Amsterdam;LTE;28.6;119881.2679;483363
antenneregister.fid-5a1e297e_17d0a604c22_-1c01;Amsterdam;LTE;43.8;114403;485260
antenneregister.fid-5a1e297e_17d0a604c22_-1c00;Amsterdam;LTE;39.7;118028;484868
antenneregister.fid-5a1e297e_17d0a604c22_-1bff;Amsterdam;LTE;29;122085.2679;486878
antenneregister.fid-5a1e297e_17d0a604c22_-1bfe;Amsterdam;LTE;3;122238.2679;487690
antenneregister.fid-5a1e297e_17d0a604c22_-1bfd;Amsterdam;LTE;17.4;122679;488913
antenneregister.fid-5a1e297e_17d0a604c22_-1bfc;Amsterdam;LTE;25.8;122560.6699;485328.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bfb;Amsterdam;LTE;22.4;119230;487174
antenneregister.fid-5a1e297e_17d0a604c22_-1bfa;Amsterdam;LTE;15.8;117853.2679;485344
antenneregister.fid-5a1e297e_17d0a604c22_-1bf9;Amsterdam;LTE;19.5;118998;487000
antenneregister.fid-5a1e297e_17d0a604c22_-1bf8;Amsterdam;LTE;30.5;115825;490158
antenneregister.fid-5a1e297e_17d0a604c22_-1bf7;Amsterdam;LTE;21.3;119323.2679;491174
antenneregister.fid-5a1e297e_17d0a604c22_-1bf6;Amsterdam;LTE;49.9;126110;489301
antenneregister.fid-5a1e297e_17d0a604c22_-1bf5;Amsterdam;LTE;26.7;124188;486880
antenneregister.fid-5a1e297e_17d0a604c22_-1bf4;Amsterdam;LTE;26.3;116198.2679;488579
antenneregister.fid-5a1e297e_17d0a604c22_-1bf3;Amsterdam;LTE;28.1;117376.2679;490925
antenneregister.fid-5a1e297e_17d0a604c22_-1bf2;Amsterdam;LTE;22.8;122148.2679;484529
antenneregister.fid-5a1e297e_17d0a604c22_-1bf1;Amsterdam;LTE;33.2;118918;481720
antenneregister.fid-5a1e297e_17d0a604c22_-1bf0;Amsterdam;LTE;31.3;119457;488177
antenneregister.fid-5a1e297e_17d0a604c22_-1bef;Amsterdam;LTE;20;119490;485935
antenneregister.fid-5a1e297e_17d0a604c22_-1bee;Amsterdam;LTE;30.4;120718;483000
antenneregister.fid-5a1e297e_17d0a604c22_-1bed;Amsterdam;LTE;25.1;123012.2679;484724
antenneregister.fid-5a1e297e_17d0a604c22_-1bec;Amsterdam;LTE;20.8;122539;486173
antenneregister.fid-5a1e297e_17d0a604c22_-1beb;Amsterdam;LTE;27.1;117328.2679;487379
antenneregister.fid-5a1e297e_17d0a604c22_-1bea;Amsterdam;LTE;22.9;113994;485279
antenneregister.fid-5a1e297e_17d0a604c22_-1be9;Amsterdam;LTE;35.1;125701.2679;481274
antenneregister.fid-5a1e297e_17d0a604c22_-1be8;Amsterdam;LTE;36.2;119945.6699;487367.5
antenneregister.fid-5a1e297e_17d0a604c22_-1be7;Amsterdam;LTE;30;121321;486732
antenneregister.fid-5a1e297e_17d0a604c22_-1be6;Amsterdam;LTE;52.2;125521;489444
antenneregister.fid-5a1e297e_17d0a604c22_-1be5;Amsterdam;LTE;24.4;121642;485773
antenneregister.fid-5a1e297e_17d0a604c22_-1be4;Amsterdam;LTE;19.7;122688;485799
antenneregister.fid-5a1e297e_17d0a604c22_-1be3;Amsterdam;LTE;19.5;125026.6699;484070.5
antenneregister.fid-5a1e297e_17d0a604c22_-1be2;Amsterdam;LTE;20.5;115217;485191
antenneregister.fid-5a1e297e_17d0a604c22_-1be1;Amsterdam;LTE;22.4;120275.6699;485557.5
antenneregister.fid-5a1e297e_17d0a604c22_-1be0;Amsterdam;LTE;30.5;121873;487230
antenneregister.fid-5a1e297e_17d0a604c22_-1bdf;Amsterdam;LTE;27;115798.6699;484025.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bde;Amsterdam;LTE;25;116248;487560
antenneregister.fid-5a1e297e_17d0a604c22_-1bdd;Amsterdam;LTE;33.1;113968.2679;491079
antenneregister.fid-5a1e297e_17d0a604c22_-1bdc;Amsterdam;LTE;37.5;118448;484550
antenneregister.fid-5a1e297e_17d0a604c22_-1bdb;Amsterdam;LTE;19.8;118977;487203
antenneregister.fid-5a1e297e_17d0a604c22_-1bda;Amsterdam;LTE;30.5;122346;490873
antenneregister.fid-5a1e297e_17d0a604c22_-1bd9;Amsterdam;LTE;24.4;123572;489128
antenneregister.fid-5a1e297e_17d0a604c22_-1bd8;Amsterdam;LTE;19.4;119512.6699;488662.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bd7;Amsterdam;LTE;22.5;120866.6699;486389.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bd6;Amsterdam;LTE;28.2;121009.2679;487650
antenneregister.fid-5a1e297e_17d0a604c22_-1bd5;Amsterdam;LTE;34.9;117562;486837
antenneregister.fid-5a1e297e_17d0a604c22_-1bd4;Amsterdam;LTE;20.2;123116.2679;488330
antenneregister.fid-5a1e297e_17d0a604c22_-1bd3;Amsterdam;LTE;28.1;121600.6699;486987.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bd2;Amsterdam;LTE;23.2;118929.6699;484832.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bd1;Amsterdam;LTE;20.8;118713.2679;487359
antenneregister.fid-5a1e297e_17d0a604c22_-1bd0;Amsterdam;LTE;13.8;123537;488934
antenneregister.fid-5a1e297e_17d0a604c22_-1bcf;Amsterdam;LTE;13.5;118003;489232
antenneregister.fid-5a1e297e_17d0a604c22_-1bce;Amsterdam;LTE;40;124991;486520
antenneregister.fid-5a1e297e_17d0a604c22_-1bcd;Amsterdam;LTE;28.2;119278.6699;490748.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bcc;Amsterdam;LTE;30.7;112259;491654
antenneregister.fid-5a1e297e_17d0a604c22_-1bcb;Amsterdam;LTE;30.2;117943.2679;489733
antenneregister.fid-5a1e297e_17d0a604c22_-1bca;Amsterdam;LTE;54.7;124674.6699;490095.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bc9;Amsterdam;LTE;28.7;123599;488565
antenneregister.fid-5a1e297e_17d0a604c22_-1bc8;Amsterdam;LTE;29.7;119697.6699;482288.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bc7;Amsterdam;LTE;30.9;119975.2679;483098
antenneregister.fid-5a1e297e_17d0a604c22_-1bc6;Amsterdam;LTE;31.5;120984;488480
antenneregister.fid-5a1e297e_17d0a604c22_-1bc5;Amsterdam;LTE;21.8;120865.2679;485316
antenneregister.fid-5a1e297e_17d0a604c22_-1bc4;Amsterdam;LTE;23.8;114478.2679;489279
antenneregister.fid-5a1e297e_17d0a604c22_-1bc3;Amsterdam;LTE;25.5;120513;488680
antenneregister.fid-5a1e297e_17d0a604c22_-1bc2;Amsterdam;LTE;37.5;115110;486553
antenneregister.fid-5a1e297e_17d0a604c22_-1bc1;Amsterdam;LTE;20.5;118644.6699;486800.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bc0;Amsterdam;LTE;40.5;120719.2679;482989
antenneregister.fid-5a1e297e_17d0a604c22_-1bbf;Amsterdam;LTE;34.5;118795;485641
antenneregister.fid-5a1e297e_17d0a604c22_-1bbe;Amsterdam;LTE;32.1;115623;483464
antenneregister.fid-5a1e297e_17d0a604c22_-1bbd;Amsterdam;LTE;25.1;117720.6699;485812.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bbc;Amsterdam;LTE;26.2;119905;488035
antenneregister.fid-5a1e297e_17d0a604c22_-1bbb;Amsterdam;LTE;26.8;121248;484740
antenneregister.fid-5a1e297e_17d0a604c22_-1bba;Amsterdam;LTE;22.9;119825.1254;486593.8874
antenneregister.fid-5a1e297e_17d0a604c22_-1bb9;Amsterdam;LTE;32.1;129046;485123
antenneregister.fid-5a1e297e_17d0a604c22_-1bb8;Amsterdam;LTE;29.3;123031.6699;492111.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bb7;Amsterdam;LTE;21.5;117083.2679;491180
antenneregister.fid-5a1e297e_17d0a604c22_-1bb6;Amsterdam;LTE;21.2;122360.2679;484928
antenneregister.fid-5a1e297e_17d0a604c22_-1bb5;Amsterdam;LTE;23.9;124263;483177
antenneregister.fid-5a1e297e_17d0a604c22_-1bb4;Amsterdam;LTE;22.5;120152.6699;485449.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bb3;Amsterdam;LTE;21.9;118731;488254
antenneregister.fid-5a1e297e_17d0a604c22_-1bb2;Amsterdam;LTE;21.9;119518.2679;485280
antenneregister.fid-5a1e297e_17d0a604c22_-1bb1;Amsterdam;LTE;27.9;121457;488360
antenneregister.fid-5a1e297e_17d0a604c22_-1bb0;Amsterdam;LTE;21.2;120087.6699;486173.5
antenneregister.fid-5a1e297e_17d0a604c22_-1baf;Amsterdam;LTE;22;120695.6699;484309.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bae;Amsterdam;LTE;21.4;118223.2679;490436
antenneregister.fid-5a1e297e_17d0a604c22_-1bad;Amsterdam;LTE;37.2;121151;492446
antenneregister.fid-5a1e297e_17d0a604c22_-1bac;Amsterdam;LTE;24.9;121720.6699;487410.5
antenneregister.fid-5a1e297e_17d0a604c22_-1bab;Amsterdam;LTE;53;126178;489340
antenneregister.fid-5a1e297e_17d0a604c22_-1baa;Amsterdam;LTE;24.6;122813.6699;482852.5
antenneregister.fid-5a1e297e_17d0a604c22_-1ba9;Amsterdam;LTE;41.2;122624.6699;484143.5
antenneregister.fid-5a1e297e_17d0a604c22_-1ba8;Amsterdam;LTE;34.8;122042.6699;489210.5
antenneregister.fid-5a1e297e_17d0a604c22_-1ba7;Amsterdam;LTE;26.4;115615;483465
antenneregister.fid-5a1e297e_17d0a604c22_-1ba6;Amsterdam;LTE;28.1;117714.6699;485816.5
antenneregister.fid-5a1e297e_17d0a604c22_-1ba5;Amsterdam;LTE;19.8;118112;488382
antenneregister.fid-5a1e297e_17d0a604c22_-1ba4;Amsterdam;LTE;34.8;123681;485572
antenneregister.fid-5a1e297e_17d0a604c22_-1ba3;Amsterdam;LTE;31.4;119741;487495
antenneregister.fid-5a1e297e_17d0a604c22_-1ba2;Amsterdam;LTE;46.1;113818;485300
antenneregister.fid-5a1e297e_17d0a604c22_-1ba1;Amsterdam;LTE;23.7;118942.6699;483997.5
antenneregister.fid-5a1e297e_17d0a604c22_-1ba0;Amsterdam;LTE;39.3;122214.2679;486342
antenneregister.fid-5a1e297e_17d0a604c22_-1b9f;Amsterdam;LTE;28.5;117865.6699;484302.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b9e;Amsterdam;LTE;24.9;120722.6699;486825.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b9d;Amsterdam;LTE;27.4;119907.2679;488031
antenneregister.fid-5a1e297e_17d0a604c22_-1b9c;Amsterdam;LTE;33.6;115631;485404
antenneregister.fid-5a1e297e_17d0a604c22_-1b9b;Amsterdam;LTE;18.6;118488.2679;489619
antenneregister.fid-5a1e297e_17d0a604c22_-1b9a;Amsterdam;LTE;21.2;119529.6699;485926.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b99;Amsterdam;LTE;35.6;121244;487590
antenneregister.fid-5a1e297e_17d0a604c22_-1b98;Amsterdam;LTE;23.3;124749;484526
antenneregister.fid-5a1e297e_17d0a604c22_-1b97;Amsterdam;LTE;24.8;121929.6699;487645.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b96;Amsterdam;LTE;45.9;119945;484980
antenneregister.fid-5a1e297e_17d0a604c22_-1b95;Amsterdam;LTE;42.5;126115.6699;485203.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b94;Amsterdam;LTE;27.5;121184;486903
antenneregister.fid-5a1e297e_17d0a604c22_-1b93;Amsterdam;LTE;30.5;118218;490438
antenneregister.fid-5a1e297e_17d0a604c22_-1b92;Amsterdam;LTE;25.5;122150;484507
antenneregister.fid-5a1e297e_17d0a604c22_-1b91;Amsterdam;LTE;26.4;119288;490743
antenneregister.fid-5a1e297e_17d0a604c22_-1b90;Amsterdam;LTE;33;123141.6699;490946.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b8f;Amsterdam;LTE;30;120255.6699;491801.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b8e;Amsterdam;LTE;32;121297.6699;485644.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b8d;Amsterdam;LTE;21.6;118577;490215
antenneregister.fid-5a1e297e_17d0a604c22_-1b8c;Amsterdam;LTE;36.8;122595;484150
antenneregister.fid-5a1e297e_17d0a604c22_-1b8b;Amsterdam;LTE;29.3;122528.2679;485449
antenneregister.fid-5a1e297e_17d0a604c22_-1b8a;Amsterdam;LTE;38.9;116458.6699;488042.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b89;Amsterdam;LTE;25;124569;480832
antenneregister.fid-5a1e297e_17d0a604c22_-1b88;Amsterdam;LTE;39.2;119669.2679;484036
antenneregister.fid-5a1e297e_17d0a604c22_-1b87;Amsterdam;LTE;36.9;117748.2679;489422
antenneregister.fid-5a1e297e_17d0a604c22_-1b86;Amsterdam;LTE;14.7;114755.2679;483942
antenneregister.fid-5a1e297e_17d0a604c22_-1b85;Amsterdam;LTE;34.9;114681.2679;483596
antenneregister.fid-5a1e297e_17d0a604c22_-1b84;Amsterdam;LTE;19.3;119451;486543
antenneregister.fid-5a1e297e_17d0a604c22_-1b83;Amsterdam;LTE;21;120875;486391
antenneregister.fid-5a1e297e_17d0a604c22_-1b82;Amsterdam;LTE;31.2;114677.2679;483597
antenneregister.fid-5a1e297e_17d0a604c22_-1b81;Amsterdam;LTE;34.2;121033.2679;492650
antenneregister.fid-5a1e297e_17d0a604c22_-1b80;Amsterdam;LTE;28;120318;492865
antenneregister.fid-5a1e297e_17d0a604c22_-1b7f;Amsterdam;LTE;17.2;116729.6699;486211.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b7e;Amsterdam;LTE;19.7;120411.6699;488475.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b7d;Amsterdam;LTE;5.2;115442;492070
antenneregister.fid-5a1e297e_17d0a604c22_-1b7c;Amsterdam;LTE;29.6;114679;483595
antenneregister.fid-5a1e297e_17d0a604c22_-1b7b;Amsterdam;LTE;25.7;121170;485929
antenneregister.fid-5a1e297e_17d0a604c22_-1b7a;Amsterdam;LTE;51.9;126108.2679;489306
antenneregister.fid-5a1e297e_17d0a604c22_-1b79;Amsterdam;LTE;40;121315.6699;490997.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b78;Amsterdam;LTE;28.1;124308.6699;483233.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b77;Amsterdam;LTE;21.6;121960;485158
antenneregister.fid-5a1e297e_17d0a604c22_-1b76;Amsterdam;LTE;30.3;127155.6699;480237.5
antenneregister.fid-5a1e297e_17d0a604c22_-1b75;Amsterdam;LTE;23.9;123923;480290
